SubwayLocation,Price,SandwichName,TodayDate,Size
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Meatball Marinara,2015-08-14 00:25:44.775000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.75,Monterey Chicken Melt,2015-08-14 00:25:44.775000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.75,Monterey Chicken Melt,2015-08-14 00:25:44.775000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Monterey Chicken Melt,2015-08-14 00:25:44.775000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.25,Oven Roasted Chicken,2015-08-14 00:25:44.775000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.25,Oven Roasted Chicken,2015-08-14 00:25:44.775000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Oven Roasted Chicken,2015-08-14 00:25:44.775000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.25,Pizza Sub with Cheese,2015-08-14 00:25:44.775000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.25,Pizza Sub with Cheese,2015-08-14 00:25:44.775000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Pizza Sub with Cheese,2015-08-14 00:25:44.775000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.75,Roast Beef,2015-08-14 00:25:44.775000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.75,Roast Beef,2015-08-14 00:25:44.775000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Roast Beef,2015-08-14 00:25:44.775000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$5.50,Spicy Italian,2015-08-14 00:25:44.775000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$4.00,Spicy Italian,2015-08-14 00:25:44.775000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Spicy Italian,2015-08-14 00:25:44.775000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.75,Steak & Cheese,2015-08-14 00:25:44.775000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.75,Steak & Cheese,2015-08-14 00:25:44.775000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Steak & Cheese,2015-08-14 00:25:44.775000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.75,Subway Club®,2015-08-14 00:25:44.775000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.75,Subway Club®,2015-08-14 00:25:44.775000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Subway Club®,2015-08-14 00:25:44.775000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.75,Subway Melt®,2015-08-14 00:25:44.775000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.75,Subway Melt®,2015-08-14 00:25:44.775000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Subway Melt®,2015-08-14 00:25:44.775000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.75,Sweet Onion Chicken Teriyaki,2015-08-14 00:25:44.775000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.75,Sweet Onion Chicken Teriyaki,2015-08-14 00:25:44.775000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Sweet Onion Chicken Teriyaki,2015-08-14 00:25:44.775000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.25,Tuna,2015-08-14 00:25:44.775000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.25,Tuna,2015-08-14 00:25:44.775000,6-INCH SUB
